;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
200;0.846605;6.51912;24;72;0.0;[0.72 0.93];Average fixed raters;Normalized data;G2;delta;C15
201;0.959076;24.435695;24;72;0.0;[0.92 0.98];Average fixed raters;Normalized data;G2;theta;C15
202;0.928873;14.059329;24;72;0.0;[0.87 0.97];Average fixed raters;Normalized data;G2;alpha-1;C15
203;0.897463;9.752611;24;72;0.0;[0.81 0.95];Average fixed raters;Normalized data;G2;alpha-2;C15
204;0.935703;15.552945;24;72;0.0;[0.88 0.97];Average fixed raters;Normalized data;G2;beta1;C15
205;0.93896;16.382629;24;72;0.0;[0.89 0.97];Average fixed raters;Normalized data;G2;beta2;C15
206;0.932767;14.873663;24;72;0.0;[0.88 0.97];Average fixed raters;Normalized data;G2;beta3;C15
207;0.756171;4.101232;24;72;2e-06;[0.55 0.88];Average fixed raters;Normalized data;G2;gamma;C15
208;0.854625;6.878759;24;72;0.0;[0.73 0.93];Average fixed raters;Normalized data;G2;delta;C18
209;0.927948;13.878793;24;72;0.0;[0.87 0.96];Average fixed raters;Normalized data;G2;theta;C18
210;0.924339;13.21687;24;72;0.0;[0.86 0.96];Average fixed raters;Normalized data;G2;alpha-1;C18
211;0.91189;11.34942;24;72;0.0;[0.84 0.96];Average fixed raters;Normalized data;G2;alpha-2;C18
212;0.891779;9.240317;24;72;0.0;[0.8  0.95];Average fixed raters;Normalized data;G2;beta1;C18
213;0.923564;13.082801;24;72;0.0;[0.86 0.96];Average fixed raters;Normalized data;G2;beta2;C18
214;0.939601;16.556634;24;72;0.0;[0.89 0.97];Average fixed raters;Normalized data;G2;beta3;C18
215;0.857372;7.011255;24;72;0.0;[0.74 0.93];Average fixed raters;Normalized data;G2;gamma;C18
216;0.781741;4.581715;24;72;0.0;[0.6  0.89];Average fixed raters;Normalized data;G2;delta;C20
217;0.939329;16.482297;24;72;0.0;[0.89 0.97];Average fixed raters;Normalized data;G2;theta;C20
218;0.922509;12.904744;24;72;0.0;[0.86 0.96];Average fixed raters;Normalized data;G2;alpha-1;C20
219;0.916854;12.027037;24;72;0.0;[0.85 0.96];Average fixed raters;Normalized data;G2;alpha-2;C20
220;0.871245;7.766668;24;72;0.0;[0.76 0.94];Average fixed raters;Normalized data;G2;beta1;C20
221;0.918294;12.23904;24;72;0.0;[0.85 0.96];Average fixed raters;Normalized data;G2;beta2;C20
222;0.90859;10.939689;24;72;0.0;[0.83 0.96];Average fixed raters;Normalized data;G2;beta3;C20
223;0.787159;4.698336;24;72;0.0;[0.61 0.9 ];Average fixed raters;Normalized data;G2;gamma;C20
224;0.82073;5.578182;24;72;0.0;[0.67 0.91];Average fixed raters;Normalized data;G2;delta;C22
225;0.934644;15.300745;24;72;0.0;[0.88 0.97];Average fixed raters;Normalized data;G2;theta;C22
226;0.936571;15.765594;24;72;0.0;[0.88 0.97];Average fixed raters;Normalized data;G2;alpha-1;C22
227;0.927707;13.832571;24;72;0.0;[0.87 0.96];Average fixed raters;Normalized data;G2;alpha-2;C22
228;0.892356;9.289877;24;72;0.0;[0.8  0.95];Average fixed raters;Normalized data;G2;beta1;C22
229;0.944512;18.022074;24;72;0.0;[0.9  0.97];Average fixed raters;Normalized data;G2;beta2;C22
230;0.953559;21.532663;24;72;0.0;[0.91 0.98];Average fixed raters;Normalized data;G2;beta3;C22
231;0.914026;11.631445;24;72;0.0;[0.84 0.96];Average fixed raters;Normalized data;G2;gamma;C22
232;0.740899;3.859505;24;72;5e-06;[0.52 0.87];Average fixed raters;Normalized data;G2;delta;C23
233;0.910006;11.111833;24;72;0.0;[0.83 0.96];Average fixed raters;Normalized data;G2;theta;C23
234;0.853401;6.821338;24;72;0.0;[0.73 0.93];Average fixed raters;Normalized data;G2;alpha-1;C23
235;0.876286;8.083153;24;72;0.0;[0.77 0.94];Average fixed raters;Normalized data;G2;alpha-2;C23
236;0.876582;8.102575;24;72;0.0;[0.77 0.94];Average fixed raters;Normalized data;G2;beta1;C23
237;0.898931;9.8942;24;72;0.0;[0.81 0.95];Average fixed raters;Normalized data;G2;beta2;C23
238;0.823508;5.665974;24;72;0.0;[0.68 0.91];Average fixed raters;Normalized data;G2;beta3;C23
239;0.874732;7.982896;24;72;0.0;[0.77 0.94];Average fixed raters;Normalized data;G2;gamma;C23
240;0.768707;4.323518;24;72;1e-06;[0.57 0.89];Average fixed raters;Normalized data;G2;delta;C24
241;0.942216;17.305941;24;72;0.0;[0.89 0.97];Average fixed raters;Normalized data;G2;theta;C24
242;0.901958;10.199742;24;72;0.0;[0.82 0.95];Average fixed raters;Normalized data;G2;alpha-1;C24
243;0.888781;8.991291;24;72;0.0;[0.8  0.95];Average fixed raters;Normalized data;G2;alpha-2;C24
244;0.894618;9.489286;24;72;0.0;[0.81 0.95];Average fixed raters;Normalized data;G2;beta1;C24
245;0.94123;17.015414;24;72;0.0;[0.89 0.97];Average fixed raters;Normalized data;G2;beta2;C24
246;0.862589;7.277433;24;72;0.0;[0.75 0.93];Average fixed raters;Normalized data;G2;beta3;C24
247;0.87374;7.920146;24;72;0.0;[0.77 0.94];Average fixed raters;Normalized data;G2;gamma;C24
248;0.678317;3.108648;24;72;0.000109;[0.41 0.84];Average fixed raters;Normalized data;G2;delta;C25
