;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
211;Single fixed raters;0.740551;12.417313;24;72;0.0;[0.59 0.86];Normalized data;G2;alpha-2;C18
212;Single fixed raters;0.697961;10.243318;24;72;0.0;[0.53 0.83];Normalized data;G2;beta1;C18
213;Single fixed raters;0.780892;15.255847;24;72;0.0;[0.65 0.88];Normalized data;G2;beta2;C18
214;Single fixed raters;0.76883;14.303256;24;72;0.0;[0.63 0.88];Normalized data;G2;beta3;C18
215;Single fixed raters;0.428639;4.000822;24;72;3e-06;[0.23 0.64];Normalized data;G2;gamma;C18
216;Single fixed raters;0.624094;7.640967;24;72;0.0;[0.44 0.79];Normalized data;G2;delta;C20
217;Single fixed raters;0.800343;17.034323;24;72;0.0;[0.67 0.89];Normalized data;G2;theta;C20
218;Single fixed raters;0.746622;12.786679;24;72;0.0;[0.6  0.86];Normalized data;G2;alpha-1;C20
219;Single fixed raters;0.733875;12.030504;24;72;0.0;[0.58 0.86];Normalized data;G2;alpha-2;C20
220;Single fixed raters;0.643365;8.21596;24;72;0.0;[0.46 0.8 ];Normalized data;G2;beta1;C20
221;Single fixed raters;0.710781;10.830367;24;72;0.0;[0.55 0.84];Normalized data;G2;beta2;C20
222;Single fixed raters;0.656112;8.631703;24;72;0.0;[0.48 0.81];Normalized data;G2;beta3;C20
223;Single fixed raters;0.502906;5.046762;24;72;0.0;[0.3 0.7];Normalized data;G2;gamma;C20
224;Single fixed raters;0.60393;7.09922;24;72;0.0;[0.42 0.77];Normalized data;G2;delta;C22
225;Single fixed raters;0.738619;12.303337;24;72;0.0;[0.59 0.86];Normalized data;G2;theta;C22
226;Single fixed raters;0.78391;15.51082;24;72;0.0;[0.65 0.89];Normalized data;G2;alpha-1;C22
227;Single fixed raters;0.755375;13.351536;24;72;0.0;[0.61 0.87];Normalized data;G2;alpha-2;C22
228;Single fixed raters;0.710231;10.804084;24;72;0.0;[0.55 0.84];Normalized data;G2;beta1;C22
229;Single fixed raters;0.80339;17.344807;24;72;0.0;[0.68 0.9 ];Normalized data;G2;beta2;C22
230;Single fixed raters;0.754774;13.311473;24;72;0.0;[0.61 0.87];Normalized data;G2;beta3;C22
231;Single fixed raters;0.509942;5.162304;24;72;0.0;[0.31 0.71];Normalized data;G2;gamma;C22
232;Single fixed raters;0.416298;3.852817;24;72;5e-06;[0.21 0.63];Normalized data;G2;delta;C23
233;Single fixed raters;0.732336;11.944083;24;72;0.0;[0.58 0.85];Normalized data;G2;theta;C23
234;Single fixed raters;0.599524;6.988113;24;72;0.0;[0.41 0.77];Normalized data;G2;alpha-1;C23
235;Single fixed raters;0.642431;8.18665;24;72;0.0;[0.46 0.8 ];Normalized data;G2;alpha-2;C23
236;Single fixed raters;0.608615;7.220105;24;72;0.0;[0.42 0.78];Normalized data;G2;beta1;C23
237;Single fixed raters;0.67658;9.367829;24;72;0.0;[0.51 0.82];Normalized data;G2;beta2;C23
238;Single fixed raters;0.511288;5.184773;24;72;0.0;[0.31 0.71];Normalized data;G2;beta3;C23
239;Single fixed raters;0.207651;2.048283;24;72;0.010487;[0.03 0.45];Normalized data;G2;gamma;C23
240;Single fixed raters;0.48823;4.816013;24;72;0.0;[0.29 0.69];Normalized data;G2;delta;C24
241;Single fixed raters;0.787832;15.852969;24;72;0.0;[0.66 0.89];Normalized data;G2;theta;C24
242;Single fixed raters;0.692124;9.992263;24;72;0.0;[0.53 0.83];Normalized data;G2;alpha-1;C24
243;Single fixed raters;0.674497;9.288666;24;72;0.0;[0.5  0.82];Normalized data;G2;alpha-2;C24
244;Single fixed raters;0.682797;9.610226;24;72;0.0;[0.51 0.82];Normalized data;G2;beta1;C24
245;Single fixed raters;0.762896;13.870226;24;72;0.0;[0.62 0.87];Normalized data;G2;beta2;C24
246;Single fixed raters;0.650252;8.436819;24;72;0.0;[0.47 0.8 ];Normalized data;G2;beta3;C24
247;Single fixed raters;0.210558;2.066868;24;72;0.009692;[0.03 0.45];Normalized data;G2;gamma;C24
248;Single fixed raters;0.422307;3.924096;24;72;4e-06;[0.22 0.64];Normalized data;G2;delta;C25
249;Single fixed raters;0.696144;10.16414;24;72;0.0;[0.53 0.83];Normalized data;G2;theta;C25
250;Single fixed raters;0.693543;10.052386;24;72;0.0;[0.53 0.83];Normalized data;G2;alpha-1;C25
251;Single fixed raters;0.720739;11.323516;24;72;0.0;[0.56 0.85];Normalized data;G2;alpha-2;C25
